countycode,county,state,normal_1981_2010
1001,Autauga County,AL,18.361113
1003,Baldwin County,AL,19.211113
1005,Barbour County,AL,17.283333
1007,Bibb County,AL,16.433334
1009,Blount County,AL,15.961111
1011,Bullock County,AL,17.283333
1013,Butler County,AL,17.444445
1015,Calhoun County,AL,16.894444
1017,Chambers County,AL,16.505554
1019,Cherokee County,AL,15.177777
1021,Chilton County,AL,17.555555
1023,Choctaw County,AL,18.166664
1025,Clarke County,AL,18.166664
1027,Clay County,AL,16.177776
1029,Cleburne County,AL,16.894444
1031,Coffee County,AL,16.58889
1033,Colbert County,AL,16.411112
1035,Conecuh County,AL,18.300001
1037,Coosa County,AL,16.227777
1039,Covington County,AL,17.444445
1041,Crenshaw County,AL,16.58889
1043,Cullman County,AL,15.961111
1045,Dale County,AL,17.283333
1047,Dallas County,AL,16.433334
1049,DeKalb County,AL,14.727777
1051,Elmore County,AL,18.361113
1053,Escambia County,AL,18.300001
1055,Etowah County,AL,16.594444
1057,Fayette County,AL,15.53889
1059,Franklin County,AL,17.205557
1061,Geneva County,AL,16.58889
1063,Greene County,AL,17.566666
1065,Hale County,AL,16.433334
1067,Henry County,AL,17.566666
1069,Houston County,AL,17.566666
1071,Jackson County,AL,14.938889
1073,Jefferson County,AL,17.344444
1075,Lamar County,AL,15.53889
1077,Lauderdale County,AL,16.411112
1079,Lawrence County,AL,15.805556
1081,Lee County,AL,16.505554
1083,Limestone County,AL,15.166666
1085,Lowndes County,AL,18.361113
1087,Macon County,AL,17.283333
1089,Madison County,AL,16.677778
1091,Marengo County,AL,18.166664
1093,Marion County,AL,15.53889
1095,Marshall County,AL,15.177777
1097,Mobile County,AL,19.538887
1099,Monroe County,AL,18.75
1101,Montgomery County,AL,18.361113
1103,Morgan County,AL,16.677778
1105,Perry County,AL,16.433334
1107,Pickens County,AL,17.566666
1109,Pike County,AL,17.283333
1111,Randolph County,AL,15.322224
1113,Russell County,AL,18.67778
1115,Saint Clair County,AL,16.177776
1117,Shelby County,AL,17.344444
1119,Sumter County,AL,17.566666
1121,Talladega County,AL,16.177776
1123,Tallapoosa County,AL,16.83889
1125,Tuscaloosa County,AL,18.300001
1127,Walker County,AL,17.01111
1129,Washington County,AL,19.211113
1131,Wilcox County,AL,18.166664
1133,Winston County,AL,17.205557
2013,Aleutians East Borough,AK,3.75
2016,Aleutians West Census Area,AK,1.850001
2020,Anchorage Municipality,AK,2.3833339
2050,Bethel Census Area,AK,-.76111156
2060,Bristol Bay Borough,AK,1.7222214
2068,Denali Borough,AK,2.1722221
2070,Dillingham Census Area,AK,1.7222214
2090,Fairbanks North Star Borough,AK,-2.4388885
2100,Haines Borough,AK,6.0111108
2105,Hoonah-Angoon Census Area,AK,6.0111108
2110,Juneau City and Borough,AK,6.0111108
2122,Kenai Peninsula Borough,AK,3.8166661
2130,Ketchikan Gateway Borough,AK,8.1000013
2150,Kodiak Island Borough,AK,4.8388882
2164,Lake and Peninsula Borough,AK,1.7222214
2170,Matanuska-Susitna Borough,AK,2.1722221
2180,Nome Census Area,AK,-5.1555557
2185,North Slope Borough,AK,-4.7888894
2188,Northwest Arctic Borough,AK,-5.1555557
2195,Petersburg Census Area,AK,6.9499989
2198,Prince of Wales-Hyder Census Area,AK,6.9499989
2220,Sitka City and Borough,AK,7.3722224
2230,Skagway Municipality,AK,6.0111108
2240,Southeast Fairbanks Census Area,AK,-3.9333334
2261,Valdez-Cordova Census Area,AK,-2.1833334
2158,Wade Hampton Census Area,AK,-.76111156
2275,Wrangell City and Borough,AK,6.9499989
2282,Yakutat City and Borough,AK,4.5611105
2290,Yukon-Koyukuk Census Area,AK,-3.6833329
4001,Apache County,AZ,9.2444439
4003,Cochise County,AZ,17.544445
4005,Coconino County,AZ,9.0166664
4007,Gila County,AZ,19.733332
4009,Graham County,AZ,17.65
4011,Greenlee County,AZ,13.733334
4012,La Paz County,AZ,21.477779
4013,Maricopa County,AZ,22.816666
4015,Mohave County,AZ,20.6
4017,Navajo County,AZ,12.944444
4019,Pima County,AZ,18.82222
4021,Pinal County,AZ,21.316668
4023,Santa Cruz County,AZ,16.611113
4025,Yavapai County,AZ,13.205556
4027,Yuma County,AZ,22.316666
5001,Arkansas County,AR,16.516666
5003,Ashley County,AR,16.844444
5005,Baxter County,AR,13.883334
5007,Benton County,AR,14.927777
5009,Boone County,AR,13.066667
5011,Bradley County,AR,16.766666
5013,Calhoun County,AR,16.066666
5015,Carroll County,AR,14.794445
5017,Chicot County,AR,18.383331
5019,Clark County,AR,16.211111
5021,Clay County,AR,15.194444
5023,Cleburne County,AR,15.1
5025,Cleveland County,AR,16.066666
5027,Columbia County,AR,17.072222
5029,Conway County,AR,16.5
5031,Craighead County,AR,15.061111
5033,Crawford County,AR,16.472223
5035,Crittenden County,AR,16.299999
5037,Cross County,AR,15.566667
5039,Dallas County,AR,16.066666
5041,Desha County,AR,17.233334
5043,Drew County,AR,17.549999
5045,Faulkner County,AR,17.005556
5047,Franklin County,AR,15.855556
5049,Fulton County,AR,13.622223
5051,Garland County,AR,16.6
5053,Grant County,AR,16.377777
5055,Greene County,AR,15.355556
5057,Hempstead County,AR,16.788889
5059,Hot Spring County,AR,16.6
5061,Howard County,AR,17.35
5063,Independence County,AR,14.294444
5065,Izard County,AR,13.883334
5067,Jackson County,AR,15.622222
5069,Jefferson County,AR,16.872221
5071,Johnson County,AR,15.855556
5073,Lafayette County,AR,17.072222
5075,Lawrence County,AR,15.166666
5077,Lee County,AR,16.566666
5079,Lincoln County,AR,17.322222
5081,Little River County,AR,17.677778
5083,Logan County,AR,15.855556
5085,Lonoke County,AR,16.872221
5087,Madison County,AR,14.794445
5089,Marion County,AR,13.066667
5091,Miller County,AR,17.677778
5093,Mississippi County,AR,16.227777
5095,Monroe County,AR,16.516666
5097,Montgomery County,AR,14.95
5099,Nevada County,AR,16.211111
5101,Newton County,AR,12.705555
5103,Ouachita County,AR,16.994444
5105,Perry County,AR,15.444444
5107,Phillips County,AR,16.566666
5109,Pike County,AR,17.35
5111,Poinsett County,AR,15.061111
5113,Polk County,AR,15.233333
5115,Pope County,AR,16.5
5117,Prairie County,AR,16.516666
5119,Pulaski County,AR,17.005556
5121,Randolph County,AR,15.166666
5123,Saint Francis County,AR,15.566667
5125,Saline County,AR,15.444444
5127,Scott County,AR,15.233333
5129,Searcy County,AR,14.522222
5131,Sebastian County,AR,16.472223
5133,Sevier County,AR,16.422222
5135,Sharp County,AR,13.622223
5137,Stone County,AR,13.883334
5139,Union County,AR,17.461111
5141,Van Buren County,AR,14.522222
5143,Washington County,AR,13.888889
5145,White County,AR,15.805556
5147,Woodruff County,AR,16.483332
5149,Yell County,AR,16.288889
6001,Alameda County,CA,15.783333
6003,Alpine County,CA,8.1999989
6005,Amador County,CA,16.455555
6007,Butte County,CA,16.15
6009,Calaveras County,CA,9.6777763
6011,Colusa County,CA,16.705555
6013,Contra Costa County,CA,14.683333
6015,Del Norte County,CA,11.077777
6017,El Dorado County,CA,13.8
6019,Fresno County,CA,17.961113
6021,Glenn County,CA,16.705555
6023,Humboldt County,CA,11.572224
6025,Imperial County,CA,22.505556
6027,Inyo County,CA,17.694443
6029,Kern County,CA,12.344445
6031,Kings County,CA,17.26111
6033,Lake County,CA,14.538888
6035,Lassen County,CA,8.9500008
6037,Los Angeles County,CA,17.81111
6039,Madera County,CA,16.072222
6041,Marin County,CA,14.527779
6043,Mariposa County,CA,11.899999
6045,Mendocino County,CA,11.277778
6047,Merced County,CA,17.427776
6049,Modoc County,CA,9.2611103
6051,Mono County,CA,3.1944444
6053,Monterey County,CA,15.716667
6055,Napa County,CA,14.300001
6057,Nevada County,CA,13.255556
6059,Orange County,CA,18.627777
